id|isDemo|region|name
01004C800D426000|1|US|The Sushi Spinnery
01004E300899E000|1|US|Wanderjahr TryAgainOrWalkAway
01004F7003726000|1|JP|魔界戦記ディスガイア5
01004FC010C38000|1|US|Lost Lands: Dark Overlord
01004FE010B0C000|1|JP|幻想マネージュ
010050200D0DA000|1|US|Fitness Boxing 
0100506005A2C000|1|JP|LOST SPHEAR
010050700EAD2000|1|US|Desktop Baseball
010050800D424000|1|US|Pocket League Story
010050E012BD0000|1|US|Office Lovers
010051B00F2A6000|1|JP|机でラグビー
010051C00F0DA000|1|JP|マリオ&ソニック AT 東京2020オリンピック™
010052400C622000|1|US|Forgotton Anne
010052400CF68000|1|JP|超・逃走中＆超・戦闘中　ダブルパック
010053600DFA0000|1|JP|夢現Re:Master
010054300D288000|1|US|Aces of the Luftwaffe - Squadron 
010054500E6D4000|1|US|Ape Out
010054D01171C000|1|US|Do Not Feed the Monkeys
01005540111AC000|1|GB|Voxel Pirates
0100566010F3E000|1|US|Explosive Jake
01005780106E8000|1|US|BurgerTime Party!
010057D00CF10000|1|US|Gelly Break
01005A70096FA000|1|US|Kirby™ Star Allies
01005AE00A528000|1|US|Star Ghost
01005AE012136000|1|US|Neon Abyss
01005B3005D6E000|1|US|League of Evil
01005B800DF58000|1|US|Gakuen Club
01005BA00BEE6000|1|US|TRIVIAL PURSUIT® Live!
01005BA011EDE000|1|JP|OZMAFIA!!-vivace-
01005BE008674000|1|US|IMPLOSION
01005C201074E000|1|JP|BUSTAFELLOWS
01005C7011DA2000|1|US|Princess Closet
01005E200E6FE000|1|US|Super Kickers League Ultimate
01005E300F0C2000|1|JP|MISTOVER
01005EB012FE2000|1|JP|ワガママハイスペック
01005FB011B34000|1|JP|海腹川背 BaZooKa!
010060700D24C000|1|US|Cafeteria Nipponica
010060C00E280000|1|US|Professor Lupo and his Horrible Pets
010062200CF14000|1|US|Cinderella - An Interactive Fairytale
010062600D236000|1|US|The Path of Motus
010062F00CAE2000|1|US|Art of Balance
0100631008244000|1|US|Pixel Action Heroes
0100634011250000|1|US|Overdriven Reloaded: Special Edition
010063800FCDC000|1|US|Jet Kave Adventure
0100644008454000|1|US|Slime-san
010064500AF72000|1|US|Aegis Defenders
01006500123DE000|1|US|The Almost Gone
010065700EE06000|1|US|Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda
010065900CB3A000|1|US|Katamari Damacy REROLL
010065D00E2FE000|1|JP|絶体絶命都市４Plus -Summer Memories- for Nintendo Switch
0100669004754000|1|JP|プランテラ ガーデンライフ DXエディション
010066F009524000|1|US|Ultra Space Battle Brawl
0100671010694000|1|US|Voxel Galaxy
01006710122CE000|1|US|Aeolis Tournament
010067300AFFA000|1|US|EARTHLOCK
010068000DE92000|1|US|Gabbuchi
010068200BF14000|1|US|RISK® Global Domination
010068C00F324000|1|US|Disgaea 4 Complete+
010069700AF9C000|1|US|Happy Birthdays
0100699012F82000|1|US|Cake Bash
010069B00EAC8000|1|US|Bot Vice
01006AF00EB6C000|1|US|KILL la KILL -IF
01006B2010DDA000|1|JP|ピカピカナース物語　小児科はいつも大騒ぎ　for Nintendo Switch
01006B700EA6A000|1|US|Automachef
01006BB0091F4000|1|JP|迷宮の塔　トレジャーダンジョン
01006E30099B8000|1|US|Pic-a-Pix Deluxe
01006E50094E6000|1|US|forma.8
01006E500BE94000|1|JP|シフトクアンタム Shift Quantum
01006E600F8D8000|1|US|AeternoBlade II
01006EE00AE38000|1|US|Shining Resonance Refrain
01006EE00EB0E000|1|US|Voxel Sword
01006F6010D94000|1|GB|Asterix & Obelix XXL3: The Crystal Menhir
0100703011258000|1|US|BRIGANDINE The Legend of Runersia
010070900D972000|1|US|Super Phantom Cat: Remake
010071000AAFC000|1|US|Deep Ones
010071400BDDC000|1|JP|ダイダロス：ジ・アウェイクニング・オブ・ゴールデンジャズ
010072800B1FC000|1|US|Toy Stunt Bike: Tiptop's Trials
010073200B83C000|1|JP|大図書館の羊飼い -Library Party-
010074100EB70000|1|GB|KILL la KILL - IF
010074500E6BC000|1|JP|BIOHAZARD 5
010075000D092000|1|US|Bad North
010075400DEC6000|1|US|Ayakashi Koi Gikyoku -Forbidden Romance with Mysterious Spirit-
010075A00B7C8000|1|JP|太鼓の達人 Nintendo Switchば～じょん！
010076400D678000|1|JP|アペリオン・サイバーストーム
010076800B06E000|1|US|Mega Man 11
010076A009426000|1|US|TorqueL -Physics Modified Edition-
010077300A9AC000|1|JP|ポータルナイツ
010077401083E000|1|US|Crash Drive 2
010078100ECA4000|1|JP|魂斗羅 ローグ コープス
010078700B2CC000|1|US|Caveman Warriors
010078800E8F0000|1|US|Venture Kid
010078E011FC2000|1|US|Working Zombies
01007920129C0000|1|US|Unrailed!
010079300D508000|1|US|SUPER DRAGON BALL HEROES WORLD MISSION
010079A0119CA000|1|JP|イヌワシ～うらぶれ探偵とお嬢様刑事の池袋事件ファイル～
010079A01219C000|1|US|Dangerous Relationship
01007A300C856000|1|US|Xenon Valkyrie+
01007A60125F2000|1|US|Mad Rat Dead
01007B200E7D0000|1|US|Domiverse
01007BE00FE58000|1|US|Desktop Dodgeball
01007CA012B68000|1|US|Helheim Hassle
01007CC00BA2A000|1|JP|キューブクリエイターX
01007D0013076000|1|US|Clan N
01007D100E5B2000|1|JP|スクエアピクト Block-a-Pix DELUXE
01007D500F724000|1|US|Yellow Fins
01007DF0119F6000|1|JP|ゴシックマーダー -運命を変えるアドベンチャー-
01007E6007764000|1|US|Death Squared
01007F30124EA000|1|US|Vortex Attack EX
01007FA00BD60000|1|JP|GEKIDO
01008170120C2000|1|US|Darkestville Castle
010081D00E6BA000|1|US|Resident Evil 5
010082700FD42000|1|US|New Super Lucky's Tale
010082900B810000|1|US|Flat Heroes
010083D00D170000|1|US|Venture Towns
010083D00F02E000|1|US|Instant Sports
010084800F7A4000|1|US|SWORD ART ONLINE: FATAL BULLET Complete Edition
010086100AA54000|1|US|Portal Knights
010086500AC4A000|1|US|Lode Runner Legacy
010086D00B3D2000|1|JP|OCTOPATH TRAVELER Prologue Demo
010087700F1DE000|1|US|Desktop Bowling
010087E00B0E6000|1|US|Toki Tori 2+: Nintendo Switch Edition
010087F00D8BA000|1|JP|机でピンポン
010088D00F6D0000|1|US|Tic-Tac-Letters by POWGI
010088E0109C0000|1|US|Trine 4: The Nightmare Prince
010088F00AD80000|1|US|Super One More Jump
010089A012372000|1|US|Steam Tactics
010089B013106000|1|US|HARDCORE MECHA
01008AF0080B8000|1|US|Embers of Mirrim
01008B101124E000|1|US|ZikSquare
01008B10119E6000|1|US|Save Your Nuts
01008B400BE5E000|1|JP|返校 -Detention-
01008C701215A000|1|US|Infini
01008CA00D71C000|1|US|Aperion Cyberstorm
01008CA010078000|1|GB|Desktop Rugby
01008CB00D974000|1|JP|ファントムキャット　スーパーニャーエディション
01008D00062C2000|1|US|VOEZ
01008D800F9DC000|1|US|Just Dance® 2020
01008DC0119A4000|1|US|PICROSS S4
01008E000EAD4000|1|GB|Desktop Baseball
01008E8012C02000|1|US|Agent A: A puzzle in disguise
01008ED00E6C0000|1|US|Resident Evil 6
01008EE010504000|1|JP|コーヒートーク
01008F200C880000|1|US|Mugsters
010090B005150000|1|US|Oceanhorn - Monster of Uncharted Seas
01009160128E8000|1|JP|Root Film
0100917007888000|1|US|Piczle Lines DX
010091700EA2A000|1|US|Bleep Bloop
010092D00CC12000|1|US|Octahedron: Transfixed Edition
010092F011F5C000|1|US|Desktop Basketball
0100930002EAA000|1|JP|ドラゴンクエストヒーローズI・II for Nintendo Switch
010093700BCDC000|1|US|Dungeon Village
010093E00ACB0000|1|US|Kid Tripp
010094700E2F2000|1|JP|私立ベルばら学園  ～ベルサイユのばらRe*imagination～
010094E00E018000|1|US|Monster Puzzle
010095A00D316000|1|JP|フォーゴットン・アン
010095B00AA38000|1|US|MONOPOLY® for Nintendo Switch™
010096000B3EA000|1|US|Octopath Traveler™
010096000EB10000|1|GB|Voxel Sword
010096E008BAA000|1|JP|ハッピーバースデイズ
010096E00CD08000|1|JP|ゾイドワイルド　キング オブ ブラスト
010097000C398000|1|US|Ninjin: Clash of Carrots
0100974004924000|1|US|Rayman® Legends Definitive Edition
010097400A148000|1|JP|PixelJunk™ モンスターズ2
010099200F6C2000|1|US|Galaxy Champions TV
010099700EB6A000|1|JP|キルラキル ザ・ゲーム -異布-
01009A500D8CC000|1|US|Croc's World Run
01009A500E3DA000|1|US|'n Verlore Verstand
01009A700D502000|1|JP|スーパードラゴンボールヒーローズ ワールドミッション
01009AF00E0BE000|1|JP|ゼノン ヴァルキリー プラス
01009B101044C000|1|US|The Legend of Heroes: Trails of Cold Steel III
01009B30095F8000|1|JP|クリプト・オブ・ネクロダンサー：Nintendo Switch Edition
01009B6010FB6000|1|JP|Voxel Pirates（ボクセルパイレーツ）
01009BC00C0A0000|1|US|Combat Core
01009C400C5CA000|1|US|Robbotto
01009C900EB5C000|1|JP|DAEMON X MACHINA（デモンエクスマキナ）
01009CD00C786000|1|US|X-Morph: Defense
01009CF00A9C4000|1|US|Word Search by POWGI
01009D100ED86000|1|JP|ケイデンス・オブ・ハイラル:　クリプト・オブ・ネクロダンサー feat. ゼルダの伝説
01009D300F12C000|1|JP|IxSHE Tell
01009D6010C44000|1|US|Piczle Cross Adventure
01009DF00CC92000|1|JP|BLAZBLUE CENTRALFICTION Special Edition
01009E800F2F6000|1|JP|魔界戦記ディスガイア４ Return
01009FB00FDCE000|1|JP|ビビエット
0100A02012684000|1|JP|ゾイドワイルド インフィニティブラスト
0100A1200F1E0000|1|GB|Desktop Bowling
0100A15010048000|1|US|Desktop Rugby
0100A1600DB6E000|1|JP|エース・オブ・ルフトバッフェ -スクアドロン-
0100A1900B5B8000|1|US|Animated Jigsaws: Beautiful Japanese Scenery
0100A24012862000|1|US|Crypt of the Serpent King
0100A330107FA000|1|US|Woodle Tree 2: Deluxe
0100A4100DDC2000|1|US|R-Type Dimensions EX
0100A4A00A958000|1|US|Qbik
0100A4A00FDE4000|1|JP|リンク絵 Link-a-Pix DELUXE
0100A4E00F04C000|1|JP|たべごろ！スーパーモンキーボール
0100A5400AC86000|1|US|ARMS™
0100A5E00D22E000|1|US|Grand Prix Story
0100A6B0108DA000|1|US|The Touryst
0100A7800ED94000|1|US|Trials Rising Standard Edition
0100A7D00A982000|1|JP|ロロロロ
0100A8200D0EE000|1|US|Retimed
0100A85012830000|1|US|Hidden in Plain Sight
0100A8A00D27E000|1|US|Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz
0100A9900C380000|1|US|Energy Cycle Edge
